pointid,grid_code,Slope,Soil_depth,Curvature,Row,Col
285,7.81721830368042,16.838887664081643,2.877017149581293,0.012020751109160455,11,75
286,5.626132965087891,1.4240778529244296,2.8834590045526176,0.006992688454315877,11,76
287,6.464325428009033,1.3484754468945055,2.88099469419962,0.0002568229458294552,11,77
288,6.862777233123779,1.1038927410889203,2.879823234240301,-0.0008909295233618963,11,78
289,5.847155570983887,0.954490103835943,2.882809191627722,0.0007800540416018434,11,79
290,6.015054225921631,0.5146650143360705,2.8823155646721954,0.0005681192198901063,11,80
291,6.190739154815674,0.977307947633662,2.8817990458435356,6.043209097592386e-06,11,81
292,6.93905782699585,0.48753171219969454,2.8795989670635755,-0.0005274764936085157,11,82
293,6.461935043334961,0.7511024954834754,2.8810017220004656,-0.00010979913017563282,11,83
294,6.423991680145264,0.5808394209555364,2.881113276597855,5.498638734289169e-05,11,84
295,5.922442436218262,0.5188400501980938,2.8825878460422523,0.0004214570844356906,11,85
296,5.90550422668457,0.5320228823120016,2.8826376448736206,0.0004157345542536381,11,86
297,6.361140251159668,0.5104551998447469,2.881298061637093,-0.0008555269512306422,11,87
298,5.961175918579102,1.9599580720444738,2.882473968471394,-0.001565194465568793,11,88
299,1.935294508934021,4.4594848536020155,2.8943101775481908,0.0011903904102666656,12,38
300,2.6560757160186768,4.882392575541561,2.892191059720914,0.00034355226918682025,12,39
301,2.649362564086914,5.449777596209355,2.892210796583912,0.0005491575855845613,12,40
302,2.449580669403076,5.598696826718205,2.8927981611966826,0.0010798922896606104,12,41
303,2.732299327850342,4.462972211067475,2.891966960073054,0.0007279316346667902,12,42
304,3.2110862731933594,3.2902152394915354,2.890559312452152,3.112825617107486e-05,12,43
305,4.010698318481445,3.164244769966991,2.888208429655237,-0.0004578181634017083,12,44
306,4.005340576171875,2.7849682372984073,2.888224181574308,0.00154225972879121,12,45
307,4.748290061950684,5.805774101796837,2.886039888359384,0.002170959669311257,12,46
308,7.899211406707764,11.986281384994948,2.876776087460595,0.003231047184854624,12,47
309,8.468293190002441,14.109941525309313,2.8751029703755426,0.005404446837853469,12,48
310,14.5308198928833,22.72313866034089,2.8572789645771977,0.005498637308747842,12,49
311,21.898712158203125,26.24588237985704,2.8356171458513133,0.0047903997990381905,12,50
312,31.604310989379883,27.23403340440797,2.807082401458171,0.0024877091820090947,12,51
313,44.087623596191406,27.090227943980352,2.7703810973335017,-0.004827230492046908,12,52
314,55.27703094482422,17.728243075323654,2.737483912506703,-0.014634256438813532,12,53
315,55.37397384643555,13.426382832961828,2.7371988975409782,-0.014194423990913543,12,54
316,43.529640197753906,21.044972133236698,2.772021584842514,-0.001971959734415647,12,55
317,32.91051483154297,14.522073729412607,2.8032421239637277,0.005617046640652553,12,56
318,30.786758422851562,12.810219236925105,2.809486029912183,0.0018410934114537836,12,57
319,30.87533187866211,13.744073177755723,2.809225621361868,-0.0016893446730147708,12,58
320,31.242565155029297,14.893818866183029,2.808145944790018,-0.002569759267786637,12,59
321,30.486116409301758,16.474320763550246,2.810369926223962,-0.0003466158932632876,12,60
322,27.49275779724121,15.886670797064813,2.8191704880808754,0.007426715147573511,12,61
323,29.530311584472656,18.8745531915451,2.8131800203604125,0.008720982038984687,12,62
324,41.53539276123047,26.31233853213732,2.7778847306254493,2.109203793506406e-05,12,63
325,53.0992317199707,24.546991176632705,2.7438867059150973,-0.006334718993807198,12,64
326,60.17745590209961,21.5199666369294,2.723076519824816,-0.006956509165810447,12,65
327,61.147918701171875,22.23976093958054,2.7202233308154344,-0.003766294304233836,12,66
328,57.696537017822266,25.246425759954526,2.730370493896315,0.00024471847077746855,12,67
329,53.65129089355469,26.860059479033712,2.7422636358004016,0.0029250896988275176,12,68
330,51.10381317138672,21.419058136134364,2.7497532948017387,0.005217952090888432,12,69
331,53.33906936645508,15.3379745928352,2.743181576220647,0.0015800482837469462,12,70
332,54.8964958190918,12.389174748414007,2.7386026969046844,-0.0035573170055941245,12,71
333,52.210609436035156,15.62245164815222,2.746499281416642,-0.0062791934803112116,12,72
334,43.685089111328125,23.796856993371623,2.771564560490675,-0.005448023599716656,12,73
335,29.306299209594727,29.5701465529785,2.8138386232935475,0.0006922932372703828,12,74
